Date,Open,High,Low,Close,Adj Close,Volume
2026-01-01,271.13,273.16,270.33,271.76,271.76,48088862
2026-01-02,271.56,272.35,270.12,271.01,271.01,52964103
2026-01-05,267.08,268.92,265.37,267.4,267.4,63173862
2026-01-06,267.77,267.94,265.54,267.45,267.45,55112033
2026-01-07,267.95,268.14,265.63,267.63,267.63,67043445
2026-01-08,263.95,266.02,261.86,263.86,263.86,63747893
2026-01-09,261.75,263.69,261.43,262.73,262.73,48943554
2026-01-12,262.85,263.25,260.76,262.05,262.05,54492730
2026-01-13,259.27,261.05,259.03,259.7,259.7,81824753
2026-01-14,255.96,258.66,254.54,256.71,256.71,71213003
2026-01-15,255.99,257.71,254.83,257.09,257.09,51689088
2026-01-16,254.67,256.26,252.22,254.45,254.45,56611573
2026-01-19,251.48,251.78,250.11,251.05,251.05,79166109
2026-01-20,249.82,251.2,249.44,250.98,250.98,42102173
2026-01-21,246.64,248.02,246.17,246.61,246.61,80388538
2026-01-22,247.69,249.75,245.76,248.35,248.35,73720111
2026-01-23,248.08,249.71,246.15,247.73,247.73,83515838
2026-01-26,254.6,257.22,254.26,255.38,255.38,57064334
2026-01-27,257.13,259.57,256.37,256.67,256.67,49681316
2026-01-28,260.36,261.97,258.58,260.63,260.63,81963540
2026-01-29,261.82,262.7,260.5,260.77,260.77,39100673
2026-01-30,261.11,263.99,259.04,261.98,261.98,70088458
2026-02-02,271.82,272.95,270.03,272.2,272.2,77258866
2026-02-03,270.7,272.78,270.4,271.63,271.63,83840101
2026-02-04,275.06,275.35,273.74,274.04,274.04,68881791
2026-02-05,276.82,276.98,273.44,275.91,275.91,64367077
2026-02-06,272.66,275.65,271.66,273.24,273.24,41953757
2026-02-09,273.34,275.45,271.97,272.96,272.96,69104654
2026-02-10,274.17,275.94,271.36,273.41,273.41,67843745
2026-02-11,271.11,272.19,268.61,270.98,270.98,54350835
2026-02-12,272.81,273.33,270.27,272.74,272.74,37453752
2026-02-13,270.12,271.22,268.21,270.74,270.74,45320855
2026-02-16,268.63,270.31,267.63,269.61,269.61,53130254
2026-02-17,269.56,270.98,268.31,268.61,268.61,60416699
2026-02-18,272.72,274.54,269.79,271.76,271.76,39657693
2026-02-19,268.75,270.43,266.99,268.43,268.43,69262121
2026-02-20,265.94,267.1,264.82,266.33,266.33,47836402
2026-02-23,267.19,269.94,264.91,267.55,267.55,78558992
2026-02-24,264.49,266.36,263.58,263.95,263.95,62696003
2026-02-25,266.51,267.94,264.28,265.56,265.56,61722441
2026-02-26,262.7,264.27,261.64,261.77,261.77,55240567
2026-02-27,264.85,265.96,262.96,264.18,264.18,68248585
2026-03-02,260.21,260.9,259.63,259.87,259.87,49142224
2026-03-03,260.39,262.34,260.0,261.39,261.39,70409403
2026-03-04,260.62,263.35,260.24,261.43,261.43,51045907
2026-03-05,260.77,260.9,258.15,259.81,259.81,60816023
2026-03-06,258.87,259.25,256.72,258.61,258.61,83458273
2026-03-09,254.84,256.23,253.34,256.02,256.02,84094405
2026-03-10,252.52,253.68,250.11,253.48,253.48,70403828
2026-03-11,254.24,256.39,252.85,253.85,253.85,50734209
2026-03-12,252.28,255.26,251.49,253.47,253.47,37691276
2026-03-13,254.16,256.21,251.98,254.97,254.97,60794685
2026-03-16,251.71,252.04,250.95,251.59,251.59,71081386
2026-03-17,248.12,249.4,245.25,247.66,247.66,41549546
2026-03-18,250.38,251.62,249.89,250.02,250.02,59784623
2026-03-19,247.52,248.7,245.09,248.18,248.18,60827438
2026-03-20,248.5,249.64,247.79,247.99,247.99,51663288
2026-03-23,248.01,249.7,245.77,248.64,248.64,65039702
2026-03-24,250.71,252.71,249.34,251.13,251.13,48081782
2026-03-25,252.9,254.52,249.83,252.31,252.31,63523343
2026-03-26,253.07,253.28,252.43,252.71,252.71,83437342
2026-03-27,251.45,252.45,249.18,250.61,250.61,76555914
2026-03-30,253.45,255.05,250.64,253.07,253.07,78669391
2026-03-31,254.75,256.06,253.23,254.59,254.59,36072647
2026-04-01,255.13,258.27,253.52,256.11,256.11,70185539
2026-04-02,254.16,256.16,252.39,254.48,254.48,77971495
2026-04-03,254.91,255.96,253.72,255.47,255.47,73660995
2026-04-06,255.15,256.03,253.54,255.76,255.76,43234679
2026-04-07,257.32,258.96,254.68,256.18,256.18,58240984
2026-04-08,259.48,259.9,257.22,259.74,259.74,61471618
2026-04-09,262.05,263.56,260.9,261.11,261.11,57383810
2026-04-10,259.84,262.2,258.76,259.53,259.53,83566364
2026-04-13,263.51,264.99,260.42,262.8,262.8,53727583
2026-04-14,262.4,263.43,260.15,262.39,262.39,36910705
2026-04-15,261.62,263.26,260.25,261.44,261.44,70156028
2026-04-16,263.48,264.7,261.89,263.5,263.5,55568697
2026-04-17,265.09,267.23,264.32,265.82,265.82,56900338
2026-04-20,265.66,268.02,264.58,265.13,265.13,76311634
2026-04-21,267.55,269.11,266.34,268.08,268.08,74902996
2026-04-22,261.22,264.77,260.27,262.36,262.36,40723601
